Pfile,VERSN,E_PPC,D_FILE,DF_CC,VARS,DEST,E_LINE,CH_ADD,X_PTR,STKBOT,STKEND,BREG,MEM,UN1,DF_SZ,S_TOP,LAST_K,DEBOUN,MARGIN,NXTLIN,OLDPPC,FLAGX,STRLEN,T_ADDR,SEED,FRAMES,COORDS,COORDY,PR_CC,S_POSN,S_POSL,CDFLAG,PRBUFF,MEMBOT,UN2,NumLines,MeanLineLength
othello.p,0,4500,27254,27255,28047,28254,28048,27237,49152,28048,28048,35,16477,0,2,0,64959,255,55,27238,9000,0,64125,3213,42737,48348,0,0,188,33,24,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 76 ,00 00 00 00 00 81 00 00 00 00 80 80 80 80 80 80 80 80 80 80 80 80 80 81 90 00 00 00 00 00 ,0,291,32.9244
frogging-normalized.2.program2.p,46,7188,126,0,0,7903,33406,0,0,12375,32800,42,64830,4,128,0,8704,236,12,5220,60161,130,13404,6467,32779,30218,3,247,3,0,243,46,36 03 fc 03 00 f3 2f 76 04 01 14 00 eb 26 14 38 fd 02 00 00 00 00 4f 1d 21 7b 04 70 00 00 00 76 04 ,06 29 00 f5 c1 cf 10 40 17 21 7e 83 20 00 00 00 11 01 66 88 20 0b 8f 11 bf 42 ac 00 00 00 ,34824,0,NaN
planetoids.p,0,0,20508,20509,21301,21486,21302,21306,0,21307,21307,0,16477,0,2,470,65535,255,55,20508,65534,0,57056,3213,52995,47140,0,0,188,33,24,96,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 76 ,00 00 00 00 00 00 0b f0 00 00 84 a0 00 00 00 80 80 80 80 80 80 80 89 91 90 00 00 00 00 00 ,0,166,20.09036
dominoes.p,0,0,30742,30743,31535,32151,31536,30735,49152,31536,31536,39,16477,0,2,0,65535,255,55,30736,9990,1,1,3213,57778,46446,0,0,188,33,24,64,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 76 ,00 00 00 00 00 81 00 00 00 80 80 80 80 80 80 80 80 80 80 80 80 80 89 90 90 00 00 00 00 00 ,0,484,25.407024
1KZXChess.1.ChessQueen.p,0,4,17202,17317,17327,17279,17334,17347,0,17348,17348,72,16477,0,2,0,64959,255,55,16509,65534,2,64125,3207,58773,56749,0,0,188,28,10,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 76 ,00 00 00 00 00 00 00 00 00 00 84 20 00 00 00 80 80 80 80 80 80 88 92 91 90 00 00 00 00 00 ,0,3,227.0
randompatterns.p,0,100,16715,16716,17508,0,17509,17510,0,17511,17511,0,16477,0,2,0,65535,15,55,16715,0,0,0,3179,0,64893,0,0,188,33,24,64,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 76 ,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,0,12,13.166667
cassette5.b.2.dodgems.p,0,9000,19247,19248,20040,20070,20041,19240,49152,20041,20041,35,16477,0,2,9000,65535,255,55,19241,27,1,0,3213,63041,38204,0,0,188,33,24,64,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 76 ,00 00 00 00 00 00 02 00 00 00 84 a0 00 00 00 85 00 00 00 00 80 80 80 81 90 00 00 00 00 00 ,1799,58,43.206898
salvo.p,0,9500,29157,29158,29950,31669,31677,29142,49152,31677,31677,37,16477,0,2,3590,65535,255,31,29143,1570,1,0,3213,0,38428,23,22,188,33,24,64,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 76 ,00 00 00 00 00 00 8c 60 00 00 84 a0 00 00 00 80 80 80 80 80 80 80 80 85 90 00 00 00 00 00 ,0,530,19.864151
frogging-normalized.1.program1.p,0,3,17013,17012,8452,8527,41307,8545,0,16995,17091,0,16477,0,0,3,56767,255,55,17011,65532,0,56430,3213,56073,48732,0,0,188,17,24,64,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ec ,00 00 00 00 00 00 00 00 00 01 08 40 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 ,0,1,486.0
FortyNiner.p,0,380,29467,29468,30260,30260,30261,29448,49152,30261,30261,0,16477,6,2,100,65535,255,55,29449,251,0,52326,3213,28227,59832,0,0,188,33,24,64,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 76 ,00 00 00 00 00 00 89 00 00 00 84 a0 00 00 00 80 80 80 80 80 80 80 82 93 90 a6 00 00 00 00 ,0,8,1615.75
frogging-reconstruction.p,0,1,16969,16970,17762,0,17763,17764,0,17765,17765,0,16477,0,2,0,65535,15,55,16969,0,0,0,3179,0,64893,0,0,188,33,24,64,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 76 ,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,0,24,15.166667
